source,target,song,type
Ozzy Osbourne,Lemmy,Hellraiser - 30th Anniversary Edition,collab
Ozzy Osbourne,Motörhead,Hellraiser - 30th Anniversary Edition,collab
Ozzy Osbourne,Rob Zombie,Iron Head,collab
Ozzy Osbourne,Black Sabbath,,band_member
Lemmy,Motörhead,Hellraiser - 30th Anniversary Edition,collab
Lemmy,Probot,Shake Your Blood (feat. Lemmy Kilmister),collab
Lemmy,Emigrate,Rock City,collab
Motörhead,Larry Wallis,,band_member
Motörhead,Eddie Clarke,,band_member
Motörhead,Pete Gill,,band_member
Motörhead,Brian Robertson,,band_member
Motörhead,Phil Campbell,,band_member
Motörhead,Phil Taylor,,band_member
Motörhead,Lucas Fox,,band_member
Motörhead,Michael Burston,,band_member
Motörhead,Ian Fraser Kilmister,,band_member
Motörhead,Micael Kiriakos Delaoglou,,band_member
Metallica,Kirk Hammett,,band_member
Metallica,Lars Ulrich,,band_member
Metallica,Dave Mustaine,,band_member
Metallica,James Hetfield,,band_member
Metallica,Cliff Burton,,band_member
Metallica,Jason Newsted,,band_member
Metallica,Robert Trujillo,,band_member
Metallica,Ron McGovney,,band_member
Metallica,J Balvin,Wherever I May Roam,collab
Metallica,Lou Reed,Pumping Blood,collab
Metallica,Marianne Faithfull,The Memory Remains,collab
Dave Mustaine,Megadeth,,band_member
Dave Mustaine,Lamb of God,Wake up Dead (feat. Dave Mustaine),collab
Robert Trujillo,Miley Cyrus,Nothing Else Matters,collab
Robert Trujillo,WATT,Nothing Else Matters,collab
Robert Trujillo,Elton John,Nothing Else Matters,collab
Robert Trujillo,Yo-Yo Ma,Nothing Else Matters,collab
Robert Trujillo,Chad Smith,Nothing Else Matters,collab
Probot,Dave Grohl,,band_member
Probot,Matt Sweeney,,band_member
Probot,Adam Kasper,,band_member
Probot,Jack Black,I Am the Warlock (feat. Jack Black),collab
Dave Grohl,Nirvana,,band_member
Dave Grohl,Foo Fighters,,band_member
Dave Grohl,Queens of the Stone Age,,band_member
Dave Grohl,Killing Joke,,band_member
Dave Grohl,Josh Homme,Mantra,collab
Dave Grohl,Trent Reznor,Mantra,collab
Dave Grohl,Them Crooked Vultures,,band_member
Dave Grohl,Paul McCartney,Cut Me Some Slack,collab
Dave Grohl,Krist Novoselic,Cut Me Some Slack,collab
Dave Grohl,Pat Smear,Cut Me Some Slack,collab
Nirvana,Chad Channing,,band_member
Nirvana,Dan Peters,,band_member
Nirvana,Dale Crover,,band_member
Nirvana,Kurt Cobain,,band_member
Nirvana,Krist Novoselic,,band_member
Nirvana,Jason Everman,,band_member
Nirvana,Aaron Burckhard,,band_member
Nirvana,Dave Foster (14),,band_member
Dan Peters,Screaming Trees,,band_member
Dale Crover,Melvins,,band_member
Krist Novoselic,Paul McCartney,Cut Me Some Slack,collab
Krist Novoselic,Pat Smear,Cut Me Some Slack,collab
Jason Everman,Soundgarden,,band_member
Courtney Love,Hole,,band_member
Courtney Love,Michael Stipe,Rio Grande,collab
Courtney Love,Jackshit,Rio Grande,collab
Michael Stipe,R.E.M.,,band_member
Michael Stipe,Jackshit,Rio Grande,collab
Michael Stipe,Placebo,Broken Promise,collab
Jackshit,Steve Youth,,band_member
Jackshit,Dave Fry,,band_member
Jackshit,Ben Wa (2),,band_member
R.E.M.,Mike Mills,,band_member
R.E.M.,Peter Buck,,band_member
R.E.M.,Bill Berry (2),,band_member
R.E.M.,Bertis Downs IV,,band_member
R.E.M.,Jefferson Holt,,band_member
Hole,Melissa Auf Der Maur,,band_member
Hole,Eric Erlandson,,band_member
Hole,Jill Emery,,band_member
Hole,Leslie Hardy,,band_member
Hole,Patty Schemel,,band_member
Hole,Samantha Maloney,,band_member
Hole,Kristen Pfaff,,band_member
Hole,Caroline Rue,,band_member
Hole,Micko Larkin,,band_member
Hole,Shawn Dailey,,band_member
Hole,Stuart Fisher (2),,band_member
Melissa Auf Der Maur,The Smashing Pumpkins,,band_member
The Smashing Pumpkins,Billy Corgan,,band_member
The Smashing Pumpkins,James Iha,,band_member
The Smashing Pumpkins,Jimmy Chamberlin,,band_member
The Smashing Pumpkins,Ginger Reyes,,band_member
The Smashing Pumpkins,D'Arcy Wretzky,,band_member
The Smashing Pumpkins,Nicole Fiorentino,,band_member
The Smashing Pumpkins,Jeff Schroeder,,band_member
The Smashing Pumpkins,Mike Byrne (2),,band_member
James Iha,A Perfect Circle,,band_member
Nine Inch Nails,Chris Vrenna,,band_member
Nine Inch Nails,Martin Atkins,,band_member
Nine Inch Nails,Joshua Eustis,,band_member
Nine Inch Nails,Trent Reznor,,band_member
Nine Inch Nails,Charlie Clouser,,band_member
Nine Inch Nails,Danny Lohner,,band_member
Nine Inch Nails,Jerome Dillon,,band_member
Nine Inch Nails,Adrian Belew,,band_member
Nine Inch Nails,Lisa Fischer,,band_member
Nine Inch Nails,Richard Patrick,,band_member
Nine Inch Nails,Sharlotte Gibson,,band_member
Nine Inch Nails,Pino Palladino,,band_member
Nine Inch Nails,Robin Finck,,band_member
Nine Inch Nails,Atticus Ross,,band_member
Nine Inch Nails,Kevin McMahon,,band_member
Nine Inch Nails,Josh Freese,,band_member
Nine Inch Nails,Justin Meldal-Johnsen,,band_member
Nine Inch Nails,Eric Avery,,band_member
Nine Inch Nails,Jeordie White,,band_member
Nine Inch Nails,Alex Carapetis,,band_member
Nine Inch Nails,Jeff Ward,,band_member
Nine Inch Nails,James Wooley,,band_member
Nine Inch Nails,Aaron North,,band_member
Nine Inch Nails,Alessandro Cortini,,band_member
Nine Inch Nails,Nick Rushe,,band_member
Nine Inch Nails,Lee Mars,,band_member
Nine Inch Nails,Ilan Rubin,,band_member
Nine Inch Nails,Gary Talpas,,band_member
Nine Inch Nails,Rich Fownes,,band_member
Nine Inch Nails,Ron Musarra,,band_member
Nine Inch Nails,David Haymes,,band_member
Chris Vrenna,Marilyn Manson,,band_member
Martin Atkins,Killing Joke,,band_member
Joshua Eustis,Puscifer,,band_member
Trent Reznor,Josh Homme,Mantra,collab
Charlie Clouser,Rob Zombie,Reload,collab
Charlie Clouser,Type O Negative,Cinnamon Girl - Depressed Mode Mix,collab
Danny Lohner,A Perfect Circle,,band_member
Adrian Belew,King Crimson,,band_member
Robin Finck,Guns N' Roses,,band_member
Josh Freese,A Perfect Circle,,band_member
Josh Freese,Foo Fighters,,band_member
Josh Freese,Guns N' Roses,,band_member
Jeordie White,A Perfect Circle,,band_member
Jeordie White,Marilyn Manson,,band_member
A Perfect Circle,Troy Van Leeuwen,,band_member
A Perfect Circle,Paz Lenchantin,,band_member
A Perfect Circle,Maynard James Keenan,,band_member
A Perfect Circle,Billy Howerdel,,band_member
A Perfect Circle,"Tim ""Herb"" Alexander",,band_member
A Perfect Circle,Jeff Friedl,,band_member
A Perfect Circle,Matt Mcjunkins,,band_member
A Perfect Circle,Renholdër,Weak And Powerless - Tilling My Grave Renholder Mix,collab
A Perfect Circle,Wes Borland,Weak And Powerless - Tilling My Grave Renholder Mix,collab
Troy Van Leeuwen,Queens of the Stone Age,,band_member
Troy Van Leeuwen,Failure,,band_member
Maynard James Keenan,Puscifer,,band_member
Jeff Friedl,Puscifer,,band_member
Matt Mcjunkins,Puscifer,,band_member
Renholdër,Wes Borland,Weak And Powerless - Tilling My Grave Renholder Mix,collab
Wes Borland,Limp Bizkit,,band_member
Wes Borland,Marilyn Manson,,band_member
Limp Bizkit,Fred Durst,,band_member
Limp Bizkit,John Otto,,band_member
Limp Bizkit,Terry Balsamo,,band_member
Limp Bizkit,Leor Dimant,,band_member
Limp Bizkit,Sammy Siegler,,band_member
Limp Bizkit,Sam Rivers (2),,band_member
Limp Bizkit,Mike Smith (15),,band_member
Limp Bizkit,Rob Waters (2),,band_member
Fred Durst,Korn,All In the Family (feat. Fred Durst),collab
Korn,Jonathan Davis,,band_member
Korn,David Silveria,,band_member
Korn,Ray Luzier,,band_member
Korn,Brian Welch,,band_member
Korn,James Shaffer,,band_member
Korn,Reginald Arvizu,,band_member
Korn,Ice Cube,Children of the Korn (feat. Ice Cube),collab
Korn,Chino Moreno,Wicked (feat. Chino Moreno),collab
Korn,Skrillex,Narcissistic Cannibal (feat. Skrillex & Kill the Noise),collab
Korn,Kill The Noise,Narcissistic Cannibal (feat. Skrillex & Kill the Noise),collab
Korn,Corey Taylor,A Different World (feat. Corey Taylor),collab
