id
Ozzy Osbourne
Lemmy
Motörhead
Larry Wallis
Eddie Clarke
Pete Gill
Brian Robertson
Phil Campbell
Phil Taylor
Lucas Fox
Michael Burston
Ian Fraser Kilmister
Micael Kiriakos Delaoglou
Metallica
Kirk Hammett
Lars Ulrich
Dave Mustaine
James Hetfield
Cliff Burton
Jason Newsted
Robert Trujillo
Ron McGovney
Probot
Dave Grohl
Matt Sweeney
Adam Kasper
Nirvana
Chad Channing
Dan Peters
Dale Crover
Kurt Cobain
Krist Novoselic
Jason Everman
Aaron Burckhard
Dave Foster (14)
Courtney Love
Michael Stipe
Jackshit
Steve Youth
Dave Fry
Ben Wa (2)
R.E.M.
Mike Mills
Peter Buck
Bill Berry (2)
Bertis Downs IV
Jefferson Holt
Hole
Melissa Auf Der Maur
Eric Erlandson
Jill Emery
Leslie Hardy
Patty Schemel
Samantha Maloney
Kristen Pfaff
Caroline Rue
Micko Larkin
Shawn Dailey
Stuart Fisher (2)
Melissa Auf der Maur
The Smashing Pumpkins
Billy Corgan
James Iha
Jimmy Chamberlin
Ginger Reyes
D'Arcy Wretzky
Nicole Fiorentino
Jeff Schroeder
Mike Byrne (2)
Nine Inch Nails
Chris Vrenna
Martin Atkins
Joshua Eustis
Trent Reznor
Charlie Clouser
Danny Lohner
Jerome Dillon
Adrian Belew
Lisa Fischer
Richard Patrick
Sharlotte Gibson
Pino Palladino
Robin Finck
Atticus Ross
Kevin McMahon
Josh Freese
Justin Meldal-Johnsen
Eric Avery
Jeordie White
Alex Carapetis
Jeff Ward
James Wooley
Aaron North
Alessandro Cortini
Nick Rushe
Lee Mars
Ilan Rubin
Gary Talpas
Rich Fownes
Ron Musarra
David Haymes
A Perfect Circle
Troy Van Leeuwen
Paz Lenchantin
Maynard James Keenan
Billy Howerdel
"Tim ""Herb"" Alexander"
Jeff Friedl
Matt Mcjunkins
Renholdër
Wes Borland
Limp Bizkit
Fred Durst
John Otto
Terry Balsamo
Leor Dimant
Sammy Siegler
Sam Rivers (2)
Mike Smith (15)
Rob Waters (2)
Korn
Jonathan Davis
David Silveria
Ray Luzier
Brian Welch
James Shaffer
Reginald Arvizu
Ice Cube
Chino Moreno
Deftones
Sergio Vega
Frank Delgado
Abe Cunningham
Chi Cheng
Stephen Carpenter
Dominic Garcia
John Taylor (31)
✝✝✝ (Crosses)
Skrillex
Kill The Noise
Corey Taylor
Slipknot
Joey Jordison
James Root
Sid Wilson
Chris Fehn
Paul Gray (3)
Shawn Crahan
Craig Jones (2)
Mick Thomson
Josh Brainard
Michael Pfaff
Donnie Steele
Jay Weinberg
Brandon Darner
Eloy Casagrande
Greg Welts
Alessandro Venturella
Kun P. Nong
Andy Rouw
deadmau5
Rob Swire
The Prodigy
Liam Howlett
Keith Flint
Leeroy Thornhill
Keith Palmer
Pendulum
Jakes
Paul Kodish
El Hornet
Peredur Ap Gwynedd
Gareth McGrillen
Paul Harding (3)
KJ Sawka
Benjamin Mount
Matt White (3)
In Flames
Jesper Strömblad
Anders Fridén
Daniel Erlandsson
Anders Iwers
Johan Larsson
Glenn Ljungström
Björn Gelotte
Carl Näslund
Daniel Svensson
Peter Iwers
Chris Broderick
Niclas Engelin
Joe Rickard
Tanner Wayne
Bryce Paul Newman
Niels Nielsen
Ghost
Martin Persner
Simon Söderberg
Tobias Forge
Rikard Ottosson
Aksel Holmgren
Gustaf Lindström
Megan X Thomas
Foo Fighters
Taylor Hawkins
Rami Jaffee
Nate Mendel
William Goldsmith
Franz Stahl
Chris Shiflett
Georg Ruthenberg
Queens of the Stone Age
Mark Lanegan
Josh Homme
Alain Johannes
Chris Goss
Nick Oliveri
Jon Theodore
Natasha Shneider
Joey Castillo
David Catching
Matt Cameron
John McBain
Van Conner
Mario Lalli
Jason Albertini
Eva Nahon
Milo Beenhakker
Alfredo Hernandez
Dan Druff
Mike Johnson (8)
Gene Trautmann
Nick Lucero
Dean Fertita
Mikey Shuman
Brendon McNichol
Jack Black
Tenacious D
Jack Black (2)
Kyle Gass
Emigrate
Olsen Involtini
Mikko Sirén
Richard Kruspe Bernstein
Henka Johansson
Arnaud Giroux
Margaux Bossieux
Joe Letz
Marilyn Manson
Tyler Bates
Ginger Fish
Scott Putesky
Tim Skold
Juan Alderete de la Pena
John Lowery
Sara Lee Lucas
Gil Sharone
Brad Stewart
Brian Warner (2)
Timothy Linton
Matt Montgomery (2)
Stephen Bier
Daniel Fox (2)
Fred Sablan
Reba Meyers
Paul Wiley (2)
Brandon Pertzborn
Avril Lavigne
Rob Zombie
Five Finger Death Punch
Darrell Roberts
Jeremy Spencer (2)
Zoltan Bathory
Ivan Moody (2)
Jason Hook
Matt Snell
Chris Kael
Caleb Bingham
Andy James (9)
Charlie Engen
White Zombie
Jay Yuenger
John Tempesta
Ivan DePrume
John Ricci
Phil Buerstatte
Tim Jeffs
Peter Landau
